DEPTH,CGR,DPHI,DT,DT_NCT,FP,GR,GRT,HP,HPG,NPHI,OB,OBG,PHIE,PHIT,PP,PPP,RES_DEEP,RHOB_COMBINED,SHF,SP,SPHI,SW,TEMP,TVD,VCL,VP
1539.7402,-999,0.1009,76.4521,76.73,4238.4761,42.4971,35,2188.1105,8.338,-999,3772.8279,14.3767,0.1139,0.1163,2170.7663,2011.0406,3.9679,1.8276,1,-6453.8896,0.1316,1,105.6419,1539.7578,0.1243,3986.81
1539.8926,-999,0.0826,72.4932,76.7292,4237.1681,42.6886,35,2188.2869,8.338,-999,3773.1567,14.3768,0.0871,0.0913,1893.9093,2007.1864,4.2535,1.8521,1,-6454.0415,0.0999,1,105.6452,1539.8828,0.1104,4204.5323
1540.045,-999,0.0703,71.534,76.7284,4236.8943,43.8835,35,2188.4632,8.338,-999,3773.4866,14.3769,0.0792,0.0813,1817.4957,2005.7198,4.6429,1.8582,1,-6454.1929,0.0923,1,105.6486,1540.0078,0.1062,4260.9109
1540.1974,-999,0.0763,74.4209,76.7276,4236.6078,43.406,35,2188.8159,8.338,-999,3774.1399,14.3771,0.0893,0.0958,2036.7853,2003.4423,5.0108,1.84,1,-6454.4966,0.1154,1,105.6519,1540.2578,0.148,4095.6237
1540.3498,-999,0.1055,71.8351,76.7268,4235.0504,40.9433,35,2188.9922,8.338,-999,3774.4695,14.3772,0.088,0.1001,1842.5385,1998.864,5.2273,1.8563,1,-6454.6479,0.0947,1,105.6552,1540.3828,0.1745,4243.0511
1540.5022,-999,0.1394,71.0395,76.726,4233.2064,36.5784,35,2189.1686,8.338,-999,3774.8,14.3772,0.0942,0.1139,1777.0977,1993.6047,5.2313,1.8615,1,-6454.7998,0.0883,1,105.6586,1540.5078,0.1879,4290.5707
1540.6546,-999,0.1574,76.263,76.7252,4231.1291,41.4191,35,2189.3449,8.338,-999,3775.1246,14.3773,0.1276,0.1438,2160.3351,1987.8413,5.0144,1.8287,1,-6454.9512,0.1301,1,105.6619,1540.6328,0.1897,3996.6956
1540.807,-999,0.1583,78.9695,76.7244,4229.5292,43.1437,35,2189.5213,8.338,-999,3775.4465,14.3774,0.1422,0.155,2320.9731,1983.2867,4.7131,1.8129,1,-6455.103,0.1518,1,105.6652,1540.7578,0.1863,3859.718
1540.9594,-999,0.1566,79.8037,76.7236,4230.3917,49.2348,35,2189.874,8.338,-999,3776.0885,14.3775,0.146,0.1575,2366.5382,1983.7866,4.4237,1.8081,1,-6455.4063,0.1584,1,105.6685,1541.0078,0.1892,3819.3718
1541.1118,-999,0.1608,77.4808,76.7229,4232.0213,44.7418,35,2190.0503,8.338,-999,3776.4119,14.3776,0.1345,0.1503,2236.1515,1986.8178,4.2048,1.8215,1,-6455.5581,0.1398,1,105.6719,1541.1328,0.2042,3933.8778
1541.2642,-999,0.1806,76.6405,76.7221,4233.0265,36.7385,35,2190.2267,8.338,-999,3776.7361,14.3776,0.1375,0.1569,2185.1562,1988.3886,4.2006,1.8265,1,-6455.7095,0.1331,1,105.6752,1541.2578,0.2229,3977.0095
1541.4166,-999,0.2141,73.5833,76.7213,4233.5056,37.1441,35,2190.403,8.3379,-999,3777.0637,14.3777,0.1701,0.1614,1978.6336,1988.7269,4.2698,1.8452,1,-6455.8613,0.1087,1,105.6785,1541.3828,0.2344,4142.2442
1541.569,-999,0.2401,73.688,76.7205,4233.839,40.959,35,2190.5793,8.3379,-999,3777.3912,14.3778,0.2001,0.1748,1986.5012,1988.7297,4.7844,1.8445,1,-6456.0132,0.1095,1,105.6819,1541.5078,0.2367,4136.3587
